SET1A (SETD1A); O15047;1707; 3S8S_A (89-195) 4EWR_C (1488-1501); H3K4me1; 70.4% (498); LIG_WD40_WDR5_WIN_1;32
SET1B (SETD1B); Q9UPS6;1966; 4ES0_C (1741-1754); H3K4me1; 69.1% (567); LIG_WD40_WDR5_WIN_1;13
MLL1; Q03164;3969; 2JYL_A (280-363) 2W5Z_A (3793-3969) 2AGH_C (2842-2869) 3LQJ_A (1566-1779) 3U88_M (103-135); H3K4me1; 71.8% (571); LIG_WD40_WDR5_WIN_1 MOD_PIKK_1 CLV_TASPASE1(2);76
MLL2; Q9UMN6;2715; 4PZI_A (956-1016) 4ERZ_D (2504-2517); H3K4me1; 65.6% (753); ;30
MLL3; Q8NEZ4;4911; 2YSM_A (342-439) 2YUK_A (1631-1713) 4ERY_D (4703-4716); H3K4me1; 66.4% (1193); LIG_WD40_WDR5_WIN_1;20
MLL4; O14686;5537; 4ERQ_D (5333-5346); H3K4me1; 74.5% (1442); LIG_WD40_WDR5_WIN_1 LIG_KEPE_1;25
EZH1; Q92800;747; ; H3K27me1/2/3; 18.5% (46); ;10
EZH2; Q15910;746; 4MI0_A (520-729); H3K27me1 H3K9me1; 31.4% (119); ;242
SET2 (SETD2); Q9BYW2;2564; 4FMU_A (1444-1691) 2MDC_A (2385-2430) 2A7O_A (2462-2561); H3K36me3; 61.2% (428); ;31
ASH1L; Q9NR48;2969; 3OPE_A (2074-2285) 3MQM_A (2438-2561); H3K36me1; 48.8% (367); ;8
NSD1; Q96L73;2696; 3OOI_A (1852-2082); H3K36me1 H4K20me1; 57.6% (369); ;33
NSD2 (WHSC1, MMSET); O96028;1365; ; H3K36 H3K27me1; 32.1% (129); ;158
NSD3 (WHSC1L); Q9BZ95;1437; 4RXJ_A (957-1064); H3K36 H3K4me1 H3K27me1; 39.7% (158); ;30
SETMAR (METNASE); Q53H47;684; ; H3K36me1 H3K4me1; 7.9% (18); ;15
SUV39H1; O43463;412; 3MTS_A (44-104); H3K9me3; 0.0% (0); ;161
SUV39H2; Q9H5I1;410; 2R3A_A (124-410); H3K9me3; 0.2% (1); ;48
GLP (EHMT1); Q9H9B1;1298; 3B95_A (765-998); H3K9me1/2 (H3K27me1); 46.6% (179); ;37
G9A (EHMT2); Q96KQ7;1210; 3K5K_A (917-1190); H3K9me1/2; 41.5% (265); ;105
SETDB1 (ESET); Q15047;1291; 3DLM_A (196-397); H3K9me3; 40.4% (289); ;133
SETDB2 (CLLL8); Q96T68;719; ; H3K9me3; 25.0% (61); ;11
SETD8 (PR-SET7, SET8); Q9NQR1;393; 2BQZ_A (233-393); H4K20me1; 50.4% (146); DEG_CRL4_CDT2_1;22
SETD5; Q9C0A6;1442; ; ; 66.9% (339); ;12
MLL5; Q8IZD2;1858; 2LV9_A (109-188); H3K4me1/2; 78.6% (742); ;12
SMYD1; Q8NB12;490; 3N71_A (1-468); H3K4me1/2/3; 4.5% (21); ;18
SMYD2; Q9NRG4;433; 3TG5_A (6-430); H3K4me1 H3K36me2; 0.5% (2); ;24
SMYD3; Q9H7B4;428; 3OXL_A (1-426); H3K4me2/3; 0% (0); ;26
SMYD5; Q6GMV2;418; ; ; 8.4% (32); ;2
SMYD4; Q8IYR2;804; ; ; 3.2 % (10); ;1
SUV420H1; Q4FZB7;885; 3S8P_A (71-333); H4K20me3; 61.0% (183); ;5
SUV420H2; Q86Y97;462; 3RQ4_A (4-243); H4K20me3; 19.3% (37); ;10
SETD7 (SET7, SET9); Q8WTS6;366; 1MT6_A (58-337) 4E47_A (116-366); H3K4me1; 10.1% (19); ;35
SETD9; Q8NE22;299; ; ; 0.3% (1); ;2
PRDM3 (MECOM, EVI1); Q03112;1051; ; ; 48.0% (149); LIG_CtBP_PxDLS_1;21
PRDM16 (MEL1); Q9HAZ2;1276; ; ; 48.6% (214); ;7
PRDM5; Q9NQX1;630; ; ; 11.1% (27); ;39
PRDM8; Q9NQV8;689; ; ; 50.4% (177); ;1
PRDM13; Q9H4Q3;707; ; ; 45.0% (113); ;1
PRDM10; Q9NQV6;1147; 3LHX_A (192-335); ; 54.4% (221); ;14
PRDM15; P57071;1507; ; ; 41.4% (173); ;6
PRDM4; Q9UKN5;801; 3DB5_A (391-537); ; 28.0% (86); ;10
PRDM6; Q9NQX0;595; ; (H4K20me1); 26.9% (73); ;11
PRDM12; Q9H4Q4;367; 3EP0_A (76-204); ; 15.0% (32); ;0
PRDM1 (BLIMP1); O75626;825; 3DAL_A (38-233); ; 26.8% (80); ;24
PRDM2 (RIZ); Q13029;1718; 2JV0_A (3-161); H3K9me1; 64.3% (385); LIG_Rb_LxCxE_1;11
PRDM11; Q9NQV5;511; 3RAY_A (106-269); ; 27.0% (75); ;0
PRDM14; Q9GZV8;571; ; ; 20.8% (45); ;31
PRDM7; Q9NQW5;492; ; (H3K4); 42.3% (120); ;1
PRDM9 (MEISETZ); Q9NQV7;894; 4IJD_A (195-413); H3K4me3; 30.9% (81); ;0
SETD3; Q86TU7;594; 3SMT_A (21-493); H3K4me1 H3K36me1; 14.6% (54); ;13
SETD4; Q9NVD3;440; ; ; 4.3% (14); ;1
SETD6; Q8TBK2;473; 3QXY_A (19-473); (H3K9); 15.6% (22); ;1
DOT1L; Q8TEK3;1739; 4ER7_A (4-342); ; 56.4% (301); ;27
